routing type,vehicles,avg speed,avg time to finish trip,proportion of finished trips,optimaldiffavg,optimaldiff10%avg,dijdiffavg,dijdiff10%avg,algo processing time (ms),"(note only 80% of vehicles are tracked, the other 20% are used to initially populate the network)"
3,3500,6.014535519,278.1720154,0.834642857, Infinity, Infinity, Infinity, Infinity,182.58671,0.3
3,4000,5.240218874,283.2119609,0.768125, Infinity, Infinity, Infinity, Infinity,292.138894,0.3
3,4500,4.46604107,307.6789623,0.69414744, Infinity, Infinity, Infinity, Infinity,458.258911,0.3
3,5000,3.843908196,315.7771958,0.640020629, Infinity, Infinity, Infinity, Infinity,712.913785,0.3
3,1000,13.27514577,138.70375,1, Infinity, Infinity, Infinity, Infinity,26.218372,0.4
3,1500,11.00361576,179.9991667,1, Infinity, Infinity, Infinity, Infinity,39.460991,0.4
3,2000,10.36047503,195.5095057,0.98625, Infinity, Infinity, Infinity, Infinity,51.100883,0.4
3,2500,7.741280431,244.6369973,0.9325, Infinity, Infinity, Infinity, Infinity,59.788563,0.4
3,3000,6.821833494,271.7714953,0.891666667, Infinity, Infinity, Infinity, Infinity,94.502671,0.4
3,3500,5.908651385,276.2651021,0.821785714, Infinity, Infinity, Infinity, Infinity,206.10791,0.4
3,4000,5.168916958,289.6531959,0.75804939, Infinity, Infinity, Infinity, Infinity,321.671311,0.4
3,4500,4.248529046,300.818025,0.654530059, Infinity, Infinity, Infinity, Infinity,495.11219,0.4
3,5000,3.98120274,316.9630659,0.642674834, Infinity, Infinity, Infinity, Infinity,857.687223,0.4
3,1000,13.15496948,139.43875,1, Infinity, Infinity, Infinity, Infinity,28.35048,0.5
3,1500,9.449984122,201.5446205,0.999166667, Infinity, Infinity, Infinity, Infinity,39.9576,0.5
3,2000,8.096845804,216.2097304,0.950625, Infinity, Infinity, Infinity, Infinity,49.780874,0.5
3,2500,6.546296192,245.1395611,0.8885, Infinity, Infinity, Infinity, Infinity,61.827965,0.5
3,3000,6.049723075,245.9023904,0.836666667, Infinity, Infinity, Infinity, Infinity,115.473873,0.5
3,3500,5.400007748,276.5143508,0.783928571, Infinity, Infinity, Infinity, Infinity,213.861634,0.5
3,4000,4.943529303,295.961671,0.726305912, Infinity, Infinity, Infinity, Infinity,411.085766,0.5
3,4500,4.161578399,305.9307321,0.644532354, Infinity, Infinity, Infinity, Infinity,573.913601,0.5
3,5000,3.920590984,323.4252684,0.618172537, Infinity, Infinity, Infinity, Infinity,891.625284,0.5
3,1000,13.09120597,140.095,1, Infinity, Infinity, Infinity, Infinity,26.209435,0.6
3,1500,8.244723138,220.4130068,0.986666667, Infinity, Infinity, Infinity, Infinity,40.89419,0.6
